weekendingdate,location,pct_hosp,date,MMWRYR,MMWRWK
2021-02-06T00:00:00.000,Region 3,0.8891,2021-02-06,2021,5
2022-10-08T00:00:00.000,Region 3,0.9135,2022-10-08,2022,40
2020-11-21T00:00:00.000,Region 5,0.8348,2020-11-21,2020,47
2021-03-13T00:00:00.000,Region 5,0.9265,2021-03-13,2021,10
2021-12-11T00:00:00.000,Region 5,0.8872,2021-12-11,2021,49
2024-12-21T00:00:00.000,Region 5,0.9225,2024-12-21,2024,51
2021-08-14T00:00:00.000,Region 6,0.516,2021-08-14,2021,32
2022-01-29T00:00:00.000,Region 6,0.4933,2022-01-29,2022,4
2023-04-29T00:00:00.000,Region 6,0.9279,2023-04-29,2023,17
2022-04-23T00:00:00.000,Region 7,0.9387,2022-04-23,2022,16
2021-10-30T00:00:00.000,Region 8,0.8972,2021-10-30,2021,43
2024-01-06T00:00:00.000,Region 8,0.9722,2024-01-06,2024,1
2023-10-21T00:00:00.000,Region 9,0.9397,2023-10-21,2023,42
2021-12-25T00:00:00.000,Region 1,0.5095,2021-12-25,2021,51
2023-04-22T00:00:00.000,Region 1,0.9476,2023-04-22,2023,16
2020-08-22T00:00:00.000,Region 10,0.0043,2020-08-22,2020,34
2023-03-18T00:00:00.000,Region 10,0.9739,2023-03-18,2023,11
2025-05-03T00:00:00.000,Region 2,0.8902,2025-05-03,2025,18
2025-06-21T00:00:00.000,Region 3,0.8758,2025-06-21,2025,25
2022-04-09T00:00:00.000,Region 4,0.8962,2022-04-09,2022,14
2025-02-01T00:00:00.000,Region 5,0.9366,2025-02-01,2025,5
2021-03-13T00:00:00.000,Region 8,0.9306,2021-03-13,2021,10
2020-09-26T00:00:00.000,Region 9,0.0724,2020-09-26,2020,39
2023-01-14T00:00:00.000,Region 3,0.9512,2023-01-14,2023,2
2024-05-25T00:00:00.000,Region 3,0.4656,2024-05-25,2024,21
2021-01-16T00:00:00.000,Region 4,0.8907,2021-01-16,2021,2
2022-11-12T00:00:00.000,Region 4,0.8953,2022-11-12,2022,45
2023-01-14T00:00:00.000,Region 4,0.9253,2023-01-14,2023,2
2024-12-07T00:00:00.000,Region 4,0.9317,2024-12-07,2024,49
2021-02-13T00:00:00.000,Region 5,0.9275,2021-02-13,2021,6
2021-08-21T00:00:00.000,Region 5,0.8721,2021-08-21,2021,33
2020-08-08T00:00:00.000,Region 6,0.0,2020-08-08,2020,32
2023-12-09T00:00:00.000,Region 6,0.932,2023-12-09,2023,49
2024-10-05T00:00:00.000,Region 7,0.2658,2024-10-05,2024,40
2025-08-02T00:00:00.000,Region 7,0.8753,2025-08-02,2025,31
2020-10-10T00:00:00.000,Region 8,0.0028,2020-10-10,2020,41
2023-04-15T00:00:00.000,Region 8,0.9722,2023-04-15,2023,15
2024-05-18T00:00:00.000,Region 8,0.4861,2024-05-18,2024,20
2020-10-31T00:00:00.000,Region 9,0.719,2020-10-31,2020,44
2024-06-15T00:00:00.000,Region 9,0.4345,2024-06-15,2024,24
2024-09-21T00:00:00.000,Region 1,0.2333,2024-09-21,2024,38
2021-01-23T00:00:00.000,Region 10,0.9565,2021-01-23,2021,3
2021-11-06T00:00:00.000,Region 10,0.7565,2021-11-06,2021,44
2024-08-10T00:00:00.000,Region 2,0.4509,2024-08-10,2024,32
2024-11-30T00:00:00.000,Region 2,0.9422,2024-11-30,2024,48
